id,country,item,year,yield_kg_ha
1,China,Apples,1961,1855.6
2,China,Apples,1962,2368.4
3,China,Apples,1963,2610.5
4,China,Apples,1964,3000
5,China,Apples,1965,2890.9
6,China,Apples,1966,2381
7,China,Apples,1967,3000
8,China,Apples,1968,2678.6
9,China,Apples,1969,4000
10,China,Apples,1970,3192
11,China,Apples,1971,3284.6
12,China,Apples,1972,3035.7
13,China,Apples,1973,3032
14,China,Apples,1974,3010.8
15,China,Apples,1975,3268.9
16,China,Apples,1976,3211.7
17,China,Apples,1977,3647
18,China,Apples,1978,3813.3
19,China,Apples,1979,3715.6
20,China,Apples,1980,3200.7
21,China,Apples,1981,4147.3
22,China,Apples,1982,3379
23,China,Apples,1983,4886.7
24,China,Apples,1984,3893.5
25,China,Apples,1985,4780.6
26,China,Apples,1986,2851.2
27,China,Apples,1987,2963.1
28,China,Apples,1988,2619.8
29,China,Apples,1989,2669
30,China,Apples,1990,2648.7
31,China,Apples,1991,2739
32,China,Apples,1992,3426.6
33,China,Apples,1993,4032.2
34,China,Apples,1994,4138.2
35,China,Apples,1995,4744.9
36,China,Apples,1996,5709.7
37,China,Apples,1997,6067.4
38,China,Apples,1998,7432
39,China,Apples,1999,8529.1
40,China,Apples,2000,9064
41,China,Apples,2001,9687.2
42,China,Apples,2002,9927.8
43,China,Apples,2003,11101.4
44,China,Apples,2004,12614.8
45,China,Apples,2005,12701.2
46,China,Apples,2006,13722.7
47,China,Apples,2007,14200.1
48,China,Apples,2008,14980.3
49,China,Apples,2009,15459.3
50,China,Apples,2010,15543.2
51,China,Apples,2011,16526.6
52,China,Apples,2012,17249.5
53,China,Apples,2013,17463.6
54,China,Apples,2014,18009.7
55,China,Apples,2015,16706.4
56,China,Apples,2016,19027.8
57,China,Apples,2017,21257.5
58,China,Apples,2018,20237.1
59,China,Apples,2019,20785.1
60,China,Bananas,1961,13459.8
61,China,Bananas,1962,12562.5
62,China,Bananas,1963,9375.4
63,China,Bananas,1964,15232.8
64,China,Bananas,1965,17072.3
65,China,Bananas,1966,14231.9
66,China,Bananas,1967,14466.4
67,China,Bananas,1968,14196.6
68,China,Bananas,1969,14912.9
69,China,Bananas,1970,12070.6
70,China,Bananas,1971,14840.7
71,China,Bananas,1972,14634.1
72,China,Bananas,1973,17460.5
73,China,Bananas,1974,17283
74,China,Bananas,1975,15843.7
75,China,Bananas,1976,18663.7
76,China,Bananas,1977,21736.3
77,China,Bananas,1978,18295.6
78,China,Bananas,1979,20338.9
79,China,Bananas,1980,19317.6
80,China,Bananas,1981,17525.7
81,China,Bananas,1982,18657
82,China,Bananas,1983,18209.6
83,China,Bananas,1984,17620.6
84,China,Bananas,1985,15004.2
85,China,Bananas,1986,17624.8
86,China,Bananas,1987,13821.4
87,China,Bananas,1988,13555.4
88,China,Bananas,1989,13297.6
89,China,Bananas,1990,14015.4
90,China,Bananas,1991,15307
91,China,Bananas,1992,13815.7
92,China,Bananas,1993,14188.2
93,China,Bananas,1994,19378.7
94,China,Bananas,1995,16648.6
95,China,Bananas,1996,14707.9
96,China,Bananas,1997,16384.8
97,China,Bananas,1998,19938.2
98,China,Bananas,1999,20818.8
99,China,Bananas,2000,19915.1
100,China,Bananas,2001,21568
101,China,Bananas,2002,22462.6
102,China,Bananas,2003,23109.6
103,China,Bananas,2004,22824.8
104,China,Bananas,2005,23380.2
105,China,Bananas,2006,24055
106,China,Bananas,2007,25295.9
107,China,Bananas,2008,24452
108,China,Bananas,2009,25716.3
109,China,Bananas,2010,26561.1
110,China,Bananas,2011,26811.5
111,China,Bananas,2012,29077.3
112,China,Bananas,2013,30531.4
113,China,Bananas,2014,29834.9
114,China,Bananas,2015,25759.1
115,China,Bananas,2016,29191.6
116,China,Bananas,2017,31419.7
117,China,Bananas,2018,33332.4
118,China,Bananas,2019,33428.6
119,China,Oranges,1961,2663.5
120,China,Oranges,1962,2994.2
121,China,Oranges,1963,2664.3
122,China,Oranges,1964,2875.9
123,China,Oranges,1965,2887
124,China,Oranges,1966,3112.9
125,China,Oranges,1967,3034.9
126,China,Oranges,1968,3199.4
127,China,Oranges,1969,3224.3
128,China,Oranges,1970,3178.9
129,China,Oranges,1971,3666.2
130,China,Oranges,1972,4325
131,China,Oranges,1973,4533.2
132,China,Oranges,1974,4634.3
133,China,Oranges,1975,4510.2
